track_name,artist,album,release_date,spotify_uri,language,danceability,energy,valence,tempo,speechiness,acousticness
Bollywood Apologetics,Black Wing,No Moon,2020-12-11,spotify:track:2g8DYqXZtARq84f6jpeTAI,Hindi,0.455,0.592,0.323,160.054,0.0327,0.186
Thumkeshwari,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),2022-12-06,spotify:track:6LN9PyBfR0Im2CPFi6sy4d,Hindi,0.757,0.682,0.562,98.977,0.0553,0.055
Bollywood,Patrick Watson,Love Songs For Robots,2015-05-11,spotify:track:14wFKHSZrsCoPZCeVvpMhb,Hindi,0.289,0.292,0.347,156.118,0.0305,0.441
Thumkeshwari,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),2022-11-22,spotify:track:6cI3I2flP8qvnLLgvrXWg0,Hindi,0.757,0.682,0.562,98.977,0.0553,0.055
Bollywood,The Black Skirts,THIRSTY,2019-02-12,spotify:track:4aR6vDXYYwtsreXsjLGz0Z,Hindi,0.49,0.558,0.171,78.002,0.0341,0.0455
"Jeeye to Jeeye Kaise (From ""Saajan"")",Pankaj Udhas,Bollywood & Ghazal Collection of Pankaj Udhas,2016-07-01,spotify:track:6xkH51odPN6GVpMgth0lWL,Hindi,0.487,0.489,0.682,128.74,0.0306,0.246
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,spotify:track:4QyX8CBSjcoq4iMZuvifyF,Hindi,0.821,0.823,0.479,107.953,0.1,0.235
Bollywood,In-s,Bollywood,2019-06-27,spotify:track:75bnrRBe7WXrlM8vxBQMOI,Hindi,0.726,0.794,0.745,110.037,0.0724,0.325
American Bollywood,Young the Giant,American Bollywood,2022-11-16,spotify:track:5uB9II615svx1O0lsfq0me,Hindi,0.422,0.647,0.0919,148.049,0.039,0.0863
Kala Chashma,Prem & Hardeep,Baar Baar Dekho (Original Motion Picture Soundtrack),2016-08-04,spotify:track:6mdLX10dvBb7rGYbMXpKzz,Hindi,0.801,0.856,0.919,106.029,0.065,0.0984
